"location_id","project_id","latitude","longitude","location_name"
"2","385","9","38.8333","Addis Ababa, Ethiopa"
"3","385","35.0833","-106.633","Albuquerque, New Mexico, USA"
"4","385","31.2","29.9","Alexandria, Egypt"
"5","385","36.7","3.13333","Alger, Algeria"
"6","385","31.9667","35.9167","Amman, Jordan"
"7","385","61.1667","-149.883","Anchorage, Alaska, USA"
"8","385","37.9667","23.7167","Athens, Greece"
"9","385","33.75","-84.4","Atlanta, Georgia, USA"
"10","385","33.35","44.4167","Baghdad, Iraq"
"11","385","39.2833","-76.6","Baltimore, Maryland, USA"
"12","385","12.6333","-8","Bamako, Mali"
"13","385","41.4167","2.13333","Barcelona, Spain"
"14","385","39.9167","116.417","Beijing, China"
"15","385","52.5","13.4333","Berlin, Germany"
"16","385","4.6","-74.0833","Bogota, Colombia"
"17","385","18.9333","72.85","Bombay, India"
"18","385","-15.7833","-47.9167","Brasilia, Brazil"
"19","385","-34.6","-58.45","Buenos Aires, Argentina"
"20","385","30.05","31.25","Cairo, Egypt"
"21","385","22.5","88.3333","Calcutta, India"
"22","385","23.1","113.267","Canton, China"
"23","385","-33.9167","18.3667","Cape Town, South Africa"
"24","385","10.5","-66.9333","Caracas, Venezuela"
"25","385","33.65","-7.58333","Casablanca, Morocco"
"26","385","41.9333","-87.6333","Chicago, Illinois, USA"
"27","385","29.65","106.567","Chongqing, China"
"28","385","14.667","-17.4333","Dakar, Senegal"
"29","385","32.7833","-96.8","Dallas, Texas, USA"
"30","385","33.5","36.3","Damascus, Syria"
"31","385","28.6667","77.2167","Delhi, India"
"32","385","39.75","-104.983","Denver, Colorado, USA"
"33","385","-6.8","39.2833","Der es Salaam, Tanzania"
"34","385","42.3333","-83.05","Detroit, Michigan, USA"
"35","385","55.95","-3.21667","Edinburgh, United Kingdom"
"36","385","31.8333","-106.333","El Paso, Texas, USA"
"37","385","20.6667","-103.333","Guadalajara, Mexico"
"38","385","14.6333","-90.5167","Guatemala City, Guatemala"
